portfolio_company,initial_acquisition_date,geographic_region,fair_value,asset_class,principal_amount,shares_units,industry,part,table_index,row_index
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,6733739,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,2
Dawson Evergreen 1 LP,5/28/2024,North America,75299990,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,3
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,11819999,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,4
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,6974349,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,5
"Headlands Capital Offshore IV, LP",4/18/2024,North America,28960017,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,6
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,2570205,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,7
"Kohlberg Investors X, LP",9/27/2024,North America,651357,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,8
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,22420494,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,9
"OceanSound Partners Fund, LP",1/7/2022,North America,8414954,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,10
"Pathway Select Fund, LP Series A",3/28/2024,North America,265455307,,,,Primary Fund Investments 30.1%,ea0220896-01_ncsrs,3,11
"A&M Capital Partners, LP",9/30/2024,North America,1682755,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,15
ABRY Senior Equity IV,9/30/2024,North America,128797,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,16
"AE Industrial Partners Extended Value Fund, LP",1/7/2022,North America,518142,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,17
Atlas Capital Resources II,9/30/2024,North America,7981987,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,18
BC Partners Galileo (1) L.P. Class 1,1/7/2022,Europe,8006191,,,,Secondary Fund Investments 40.5%,ea0220896-01_ncsrs,3,19
