portfolio_company,initial_acquisition_date,geographic_region,fair_value,asset_class,principal_amount,shares_units,industry,part,table_index,row_index
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,6755664,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,2
BlackRock Secondaries & Liquidity Solutions II (Lux) SCSp,12/27/2024,North America,29359994,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,3
Dawson Portfolio Finance Evergreen LP,5/28/2024,North America,79330277,,,68333,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,4
"DFJ Growth V, L.P.",11/27/2024,North America,1085368,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,5
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,20790000,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,6
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,6080803,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,7
"Headlands Capital Offshore IV, LP",4/18/2024,North America,36314037,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,8
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,3712525,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,9
"JFL Equity Investors VI, L.P.",11/13/2024,North America,6246465,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,10
"Juxtapose Ventures III, L.P.",12/3/2024,North America,385779,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,11
"Kohlberg Investors X, LP",9/27/2024,North America,1135475,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,12
"Levine Leichtman Capital Partners VII, L.P.",12/11/2024,North America,216360,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,13
"Liquid 2 Winners Fund I, L.P.",2/3/2025,North America,1839089,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,14
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,26676234,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,15
"OceanSound Partners Fund, LP",1/7/2022,North America,9197809,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,16
Overbay Capital Partners 2024 Fund US LP,12/30/2024,North America,8164809,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,17
"Pathway Select Fund, LP — Series A",3/28/2024,North America,434037881,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,18
"Pathway Select Fund, LP — 2025",3/26/2025,North America,9121044,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,19
"SAS Vehicle, L.P.",12/30/2024,North America,17623017,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,20
SPDW Partners LP,2/5/2025,North America,7484225,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,21
"TA XV-B, L.P.",2/10/2025,North America,210220,,,,Primary Fund Investments — 26.7%,ea0240222-01_ncsr,1,22
