portfolio_company,initial_acquisition_date,geographic_region,cost,fair_value,asset_class,part,table_index,row_index,shares_units,principal_amount
"Bertram Growth Capital IV-A, L.P.",1/7/2022,North America,1238736,4963620,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,2,,
BlackRock Secondaries & Liquidity Solutions II (Lux) SCSp,12/27/2024,North America,46000000,61789798,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,3,,
"BPOC Fund VI-A, L.P.",6/6/2025,North America,6324758,7742836,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,4,,
Dawson Portfolio Finance Evergreen LP,5/28/2024,North America,70000000,81968442,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,5,68333,
"DFJ Growth V, L.P.",11/27/2024,North America,2475000,3683889,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,6,,
Envoy Fund I LP,8/29/2025,North America,2753758,4060039,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,7,,
"Geigel Hill, LP",3/11/2026,North America,46314297,46314297,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,8,,
"Glouston Private Equity Opportunities VII FTE, L.P.",4/15/2024,North America,23705000,29702773,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,9,,
"Gryphon Partners VI-A, L.P.",1/7/2022,North America,6912709,7701235,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,10,,
"Haveli Investments Software Fund I Cayman, L.P.",4/28/2025,North America,10114262,11830075,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,11,,
"Headlands Capital Offshore IV, LP",4/18/2024,North America,26715838,42826309,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,12,,
ICG LP Secondaries Fund I (Feeder) SCSp,4/12/2024,North America,3615969,5185050,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,13,,
"JFL Equity Investors VI, L.P.",11/13/2024,North America,9055952,12864248,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,14,,
"Juxtapose Ventures III, L.P.",12/3/2024,North America,730088,442571,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,15,,
"Khosla Ventures Opportunity III, L.P.",9/23/2025,North America,1500000,1473604,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,16,,
"Kohlberg Investors X, LP",9/27/2024,North America,2164500,2442204,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,17,,
"Levine Leichtman Capital Partners VII-A, L.P.",12/11/2024,North America,870372,848860,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,18,,
"Liquid 2 Winners Fund I, L.P.",2/3/2025,North America,4625000,5120437,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,19,,
"MC Brazil Special Opportunities Fund III, LP",2/26/2026,South America,5436335,7548601,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,20,,
MCP Opportunity Secondary Program VI (USD) Feeder SCSp,5/14/2025,Europe,893805,1169710,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,21,,
"NewView Capital Special Opportunities Fund III, L.P.",6/12/2024,North America,29633467,43255411,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,22,,
"OceanSound Partners Fund, LP",1/7/2022,North America,6284226,9979816,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,23,,
Overbay 2025 Fund (International) LP,8/29/2025,North America,22050000,27233635,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,24,,
Overbay Capital Partners 2024 Fund US LP,12/30/2024,North America,8890086,11129782,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,25,,
"Pathway Select Fund, LP — 2025",3/26/2025,North America,262593295,276914226,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,26,,
"Pathway Select Fund, LP — Series A",3/28/2024,North America,486791324,581325421,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,27,,
Patria Acropolis LP,12/18/2024,Europe,6213124,7633197,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,28,,
Patria SOF V Feeder SCSp,10/31/2025,Europe,1551617,1621651,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,29,,
"PSC V (B), SCSp",8/7/2025,Europe,7477581,8445853,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,30,,
"Sage Equity Investors Side, L.P.",6/16/2025,North America,2185321,2915678,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,31,,
"SAS Vehicle, L.P.",12/30/2024,North America,31206568,36184198,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,32,,
SPDW Partners LP,2/5/2025,North America,8445097,13493010,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,33,,
"TA XV-B, L.P.",2/10/2025,North America,640000,588200,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,34,,
"TPG GP Solutions (B), L.P.",10/28/2024,North America,10429136,13206623,Primary Fund Investments — 25.3%,ea0289743-01_ncsr,1,35,,
"A&M Capital Partners, LP",9/30/2024,North America,1149988,1126300,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,38,,
"ABRY Partners VII, LP",1/1/2026,North America,1387940,2195503,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,39,,
"ABRY Senior Equity IV, L.P.",9/30/2024,North America,370695,444148,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,40,,
"ACON Equity Partners 3.5, L.P.",10/1/2024,North America,2683411,2623915,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,41,,
"AE Industrial Partners Extended Value Fund, LP",1/7/2022,North America,811551,334265,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,1,42,,
"Alpine Investors VI, LP",1/1/2026,North America,22708250,25247822,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,2,,
"APH Extended Value Fund H, L.P.",1/30/2025,North America,34834676,40669307,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,3,,
"Apse Capital II, L.P.",10/28/2024,Europe,43981896,63429438,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,4,,
Atlas Capital Resources II LP,9/30/2024,North America,3039538,7953313,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,5,,
"Avenir Growth Partners II, L.P.",6/30/2025,North America,4728785,7203421,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,6,,
"Avenir Growth Partners III, L.P.",6/30/2025,North America,8158554,10003482,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,7,,
"Avenir Growth Partners IV, L.P.",6/30/2025,North America,20188799,31702609,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,8,,
"Avenir Growth Partners V, L.P.",6/30/2025,North America,15575923,19609258,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,9,,
"Banneker CV, L.P.",1/21/2025,North America,33304600,40900469,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,10,,
BC Partners Galileo (1) L.P. — Class 1,1/7/2022,Europe,3766751,4886209,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,11,,
BC Partners Galileo (1) L.P. — Class 2,1/7/2022,Europe,181195,247253,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,12,,
"Beecken Petty O’Keefe Fund IV, L.P.",9/30/2024,North America,103835,199896,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,13,,
"Blue Point Capital Partners III (A), L.P.",7/1/2025,North America,410819,2360387,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,14,,
"Blue Point Capital Partners IV (A), L.P.",7/1/2025,North America,14934220,13436324,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,15,,
Blue Sea Capital Fund I LP,9/30/2024,Europe,129884,123266,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,16,,
"Blue Wolf Capital Fund III, L.P.",9/30/2024,North America,8322403,11464096,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,17,,
"Brentwood Associates Opportunities Fund II-A, L.P.",7/18/2025,North America,34978087,45802524,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,18,,
BSP Pioneer Investors Feeder L.P.,9/29/2025,North America,37151676,41624789,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,19,,
"CapStreet IV, L.P.",9/30/2024,North America,4781483,2269773,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,20,,
"Carousel Capital Apex Rollover Partners, L.P.",9/30/2024,North America,1509204,2247404,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,21,,
"Carousel Capital Partners IV, L.P.",9/30/2024,North America,1754580,1146028,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,22,,
"Carrick Capital Partners, L.P.",9/30/2024,North America,1960094,1552067,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,23,,
"Catterton Growth Partners II, L.P.",9/30/2024,North America,13952005,12481532,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,24,,
"Centre Capital Investors VI, L.P.",9/30/2024,North America,4598753,3971097,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,25,,
"Centre Lane Partners III, L.P.",9/30/2024,North America,18135687,14253810,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,26,,
"Churchill Secondary Partners II (Blocker), LLC",6/26/2025,North America,24965178,28808101,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,27,,
"CPF Midway Fund-A, L.P.",3/19/2025,North America,14573530,18718174,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,28,,
"DFJ Growth 2006 Continuation, L.P.",11/1/2024,North America,22418653,85503573,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,29,,
"EDG Partners Fund II, L.P.",9/30/2024,North America,632105,850513,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,30,,
Edgewater Capital Partners III LP,9/30/2024,North America,2488995,495858,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,31,,
Envoy BDMI SPV LLC,6/3/2025,North America,21175207,30910180,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,32,,
EOS VP II FP LP,4/29/2025,North America,705932,1269483,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,33,,
EVP II LP,4/29/2025,North America,5647456,10022003,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,34,,
FB HA Holdings LP,1/7/2022,North America,390623,4364645,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,35,,
"Founders Circle Capital Co-Invest Series, L.P. — Series 8",5/24/2024,North America,15000000,19370825,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,36,,
"GA Continuity Fund II, L.P.",3/14/2025,North America,45585915,56901386,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,37,,
"Glouston Private Equity Opportunities VII(a), L.P.",5/29/2024,North America,15688324,16327585,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,38,,
"Gores Small Capitalization Partners, L.P.",9/30/2024,North America,,17467,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,39,,
"Great Hill Equity Partners V, L.P.",9/30/2025,North America,15244779,14971032,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,40,,
"Great Hill Equity Partners VI, L.P.",9/30/2025,North America,26586567,24778197,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,41,,
"Great Hill Equity Partners VII, L.P.",9/30/2025,North America,17884878,17100174,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,42,,
"Great Hill Equity Partners VIII, L.P.",9/30/2025,North America,15754698,14559061,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,3,43,,
"Green Equity Investors CF IV J, L.P.",5/29/2025,North America,1309674,1145187,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,2,,
"Green Equity Investors CF IV-C, L.P.",4/15/2025,North America,10580187,10785559,Secondary Fund Investments — 40.4%,ea0289743-01_ncsr,5,3,,
