portfolio_company,investment_type,interest_rate,reference_rate,basis_points_spread,maturity_date,currency,principal_amount,cost,fair_value,footnotes,first_acquisition_date,asset_class,industry,part,table_index,row_index
17Capital Co-Invest (B) SCSp,Private Investment Vehicle,,,,,,5454505,5454505,,,9/23/2021,,,ea154416_ncsr,17,1
"AG Essential Housing Fund II Holdings (DE), L.P.",Private Investment Vehicle,,,,,,4500000,4500000,,,3/23/2022,,,ea154416_ncsr,17,2
Ares Commercial Finance LP,Private Investment Vehicle,,,,,,15404552,15404552,,,6/30/2021,,,ea154416_ncsr,17,3
Ares Priority Loan Co-Invest LP,Private Investment Vehicle,,,,,,24500000,24500000,,,1/25/2023,,,ea154416_ncsr,17,4
"Ares Private Credit Solutions (Cayman), L.P.",Private Investment Vehicle,,,,,,22132916,22132916,,,12/29/2022,,,ea154416_ncsr,17,5
"Ares Special Opportunities Fund II, L.P.",Private Investment Vehicle,,,,,,11098556,11098556,,,11/7/2022,,,ea154416_ncsr,17,6
Atalaya A4 (Cayman) LP,Private Investment Vehicle,,,,,,30304001,30304001,,,8/2/2021,,,ea154416_ncsr,17,7
Atalaya Asset Income Fund Evergreen LP,Private Investment Vehicle,,,,,,10794653,10794653,,,2/28/2022,,,ea154416_ncsr,17,8
Atalaya Digithouse Opportunity Fund LLC,Private Investment Vehicle,,,,,,1470438,1470438,,,12/14/2021,,,ea154416_ncsr,17,9
"Banner Ridge Secondary Fund IV (Offshore), LP",Private Investment Vehicle,,,,,,4494868,4494868,,,6/30/2021,,,ea154416_ncsr,17,11
Benefit Street Partners Real Estate Opportunistic Debt Fund L.P.,Private Investment Vehicle,,,,,,43122177,43122177,,,3/2/2022,,,ea154416_ncsr,17,12
Burford Advantage Feeder Fund A LP,Private Investment Vehicle,,,,,,6806428,6806428,,,1/28/2022,,,ea154416_ncsr,17,13
"Callodine Perpetual ABL Fund, LP",Private Investment Vehicle,,,,,,85807692,85807692,,,10/3/2022,,,ea154416_ncsr,17,14
"Carlyle Credit Opportunities Fund (Parallel) II, SCSp",Private Investment Vehicle,,,,,,8676335,8676335,,,12/14/2021,,,ea154416_ncsr,17,15
